Entry	Add	Entry name	Status	Protein names	Gene names	Organism	Length
Q3UP38	1	EFC4B_MOUSE	reviewed	EF-hand calcium-binding domain-containing protein 4B (Calcium release-activated channel regulator 2A) (Ras-related protein Rab-46)	Cracr2a Efcab4b Gm1073 Rab46	Mus musculus (Mouse)	726
O08542	1	EFNA4_MOUSE	reviewed	Ephrin-A4 (EPH-related receptor tyrosine kinase ligand 4) (LERK-4)	Efna4 Epl4 Eplg4 Lerk4	Mus musculus (Mouse)	206
Q80UZ0	1	FGD5_MOUSE	reviewed	"FYVE, RhoGEF and PH domain-containing protein 5"	Fgd5	Mus musculus (Mouse)	1219
Q8K0X8	1	FEZ1_MOUSE	reviewed	Fasciculation and elongation protein zeta-1 (Zygin I) (Zygin-1)	Fez1	Mus musculus (Mouse)	392
Q6NVD0	1	FREM2_MOUSE	reviewed	FRAS1-related extracellular matrix protein 2 (ECM3 homolog) (NV domain-containing protein 1)	Frem2 Nv1	Mus musculus (Mouse)	3160
P26048	1	GBRA2_MOUSE	reviewed	Gamma-aminobutyric acid receptor subunit alpha-2 (GABA(A) receptor subunit alpha-2)	Gabra2 Gabra-2	Mus musculus (Mouse)	451
P70174	1	HRH1_MOUSE	reviewed	Histamine H1 receptor (H1R) (HH1R)	Hrh1 Bphs	Mus musculus (Mouse)	488
Q6WVG3	1	KCD12_MOUSE	reviewed	BTB/POZ domain-containing protein KCTD12 (Pfetin) (Predominantly fetal expressed T1 domain)	Kctd12 Pfet1	Mus musculus (Mouse)	327
Q8CFS6	1	KCNV2_MOUSE	reviewed	Potassium voltage-gated channel subfamily V member 2 (Voltage-gated potassium channel subunit Kv8.2)	Kcnv2	Mus musculus (Mouse)	562
Q80XM3	1	KCNG4_MOUSE	reviewed	Potassium voltage-gated channel subfamily G member 4 (Voltage-gated potassium channel subunit Kv6.4)	Kcng4	Mus musculus (Mouse)	506
Q5SZV5	1	K0319_MOUSE	reviewed	Dyslexia-associated protein KIAA0319 homolog	Kiaa0319	Mus musculus (Mouse)	1081
Q9ET77	1	JPH3_MOUSE	reviewed	Junctophilin-3 (JP-3) (Junctophilin type 3)	Jph3 Jp3	Mus musculus (Mouse)	744
Q9Z351	1	KCNQ2_MOUSE	reviewed	Potassium voltage-gated channel subfamily KQT member 2 (KQT-like 2) (Potassium channel subunit alpha KvLQT2) (Voltage-gated potassium channel subunit Kv7.2)	Kcnq2 Kqt2	Mus musculus (Mouse)	759
O54957	1	LAT_MOUSE	reviewed	Linker for activation of T-cells family member 1 (36 kDa phospho-tyrosine adapter protein) (pp36) (p36-38)	Lat	Mus musculus (Mouse)	242
Q91XQ6	1	LAP4B_MOUSE	reviewed	Lysosomal-associated transmembrane protein 4B	Laptm4b	Mus musculus (Mouse)	227
Q61184	1	MTR1A_MOUSE	reviewed	Melatonin receptor type 1A (Mel-1A-R) (Mel1a receptor)	Mtnr1a	Mus musculus (Mouse)	353
Q8CIQ6	1	MTR1B_MOUSE	reviewed	Melatonin receptor type 1B (Mel-1B-R) (Mel1b receptor)	Mtnr1b	Mus musculus (Mouse)	364
O88495	1	MTR1L_MOUSE	reviewed	Melatonin-related receptor (G protein-coupled receptor 50) (H9)	Gpr50	Mus musculus (Mouse)	591
Q62101	1	KPCD1_MOUSE	reviewed	Serine/threonine-protein kinase D1 (EC 2.7.11.13) (Protein kinase C mu type) (Protein kinase D) (nPKC-D1) (nPKC-mu)	Prkd1 Pkcm Pkd Prkcm	Mus musculus (Mouse)	918
Q9EQ31	1	LPAR3_MOUSE	reviewed	Lysophosphatidic acid receptor 3 (LPA receptor 3) (LPA-3) (Lysophosphatidic acid receptor Edg-7)	Lpar3 Edg7 Lpa3	Mus musculus (Mouse)	354
Q8K0B2	1	LMBD1_MOUSE	reviewed	Lysosomal cobalamin transport escort protein LMBD1 (LMBD1) (LMBR1 domain-containing protein 1) (Protein N90b)	Lmbrd1	Mus musculus (Mouse)	537
Q9D7F2	1	LPD6B_MOUSE	reviewed	Ly6/PLAUR domain-containing protein 6B	Lypd6b	Mus musculus (Mouse)	172
Q99JH7	1	CSTN3_MOUSE	reviewed	Calsyntenin-3 (Alcadein-beta) (Alc-beta)	Clstn3 Cs3 Cstn3	Mus musculus (Mouse)	956
Q9QXA6	1	BAT1_MOUSE	reviewed	"b(0,+)-type amino acid transporter 1 (b(0,+)AT1) (Glycoprotein-associated amino acid transporter b0,+AT1) (Solute carrier family 7 member 9)"	Slc7a9 Bat1	Mus musculus (Mouse)	487
P51637	1	CAV3_MOUSE	reviewed	Caveolin-3 (M-caveolin)	Cav3	Mus musculus (Mouse)	151
Q3UFQ8	1	CARL3_MOUSE	reviewed	"Capping protein, Arp2/3 and myosin-I linker protein 3 (Capping protein regulator and myosin 1 linker protein 3) (Leucine-rich repeat-containing protein 16B)"	Carmil3 Lrrc16b	Mus musculus (Mouse)	1375
Q6Q899	1	DDX58_MOUSE	reviewed	Antiviral innate immune response receptor RIG-I (ATP-dependent RNA helicase DDX58) (EC 3.6.4.13) (DEAD box protein 58) (RIG-I-like receptor 1) (RLR-1) (Retinoic acid-inducible gene 1 protein) (RIG-1) (Retinoic acid-inducible gene I protein) (RIG-I)	Ddx58	Mus musculus (Mouse)	926
Q62165	1	DAG1_MOUSE	reviewed	Dystroglycan 1 (Dystroglycan) (Dystrophin-associated glycoprotein 1) [Cleaved into: Alpha-dystroglycan (Alpha-DG); Beta-dystroglycan (Beta-DG)]	Dag1	Mus musculus (Mouse)	893
Q9R171	1	CBLN1_MOUSE	reviewed	Cerebellin-1 (Brain protein D3) (Precerebellin) [Cleaved into: Cerebellin (CER); [des-Ser1]-cerebellin (des-Ser1-cerebellin)]	Cbln1	Mus musculus (Mouse)	193
P30993	1	C5AR1_MOUSE	reviewed	C5a anaphylatoxin chemotactic receptor 1 (C5a anaphylatoxin chemotactic receptor) (C5a-R) (C5aR) (CD antigen CD88)	C5ar1 C5ar C5r1	Mus musculus (Mouse)	351
P55850	1	DSC3_MOUSE	reviewed	Desmocollin-3	Dsc3	Mus musculus (Mouse)	896
Q68SN8	1	FCRL5_MOUSE	reviewed	Fc receptor-like protein 5 (FcR-like protein 5) (FcRL5) (BXMAS1-like protein 2) (mBXMH2) (Fc receptor homolog 3) (FcRH3) (moFcRH3) (CD antigen CD307e)	Fcrl5 Fcrh3	Mus musculus (Mouse)	596
P08752	1	GNAI2_MOUSE	reviewed	Guanine nucleotide-binding protein G(i) subunit alpha-2 (Adenylate cyclase-inhibiting G alpha protein)	Gnai2 Gnai-2	Mus musculus (Mouse)	355
Q9WTP5	1	CAD22_MOUSE	reviewed	Cadherin-22 (Pituitary and brain cadherin) (PB-cadherin)	Cdh22	Mus musculus (Mouse)	813
Q8BW93	1	C5AR2_MOUSE	reviewed	C5a anaphylatoxin chemotactic receptor 2 (Complement component 5a receptor 2) (G-protein coupled receptor 77)	C5ar2 C5l2 Gpr77	Mus musculus (Mouse)	344
Q8R5M8	1	CADM1_MOUSE	reviewed	Cell adhesion molecule 1 (Immunoglobulin superfamily member 4) (IgSF4) (Nectin-like protein 2) (NECL-2) (Spermatogenic immunoglobulin superfamily) (SgIgSF) (Synaptic cell adhesion molecule) (SynCAM) (Tumor suppressor in lung cancer 1) (TSLC-1)	Cadm1 Igsf4 Necl2 Ra175 Syncam SynCam1 Tslc1	Mus musculus (Mouse)	456
Q8C6L5	1	CGAS_MOUSE	reviewed	Cyclic GMP-AMP synthase (cGAMP synthase) (cGAS) (m-cGAS) (EC 2.7.7.86) (2'3'-cGAMP synthase) (Mab-21 domain-containing protein 1)	Cgas Mb21d1	Mus musculus (Mouse)	507
Q5NBX1	1	COBL_MOUSE	reviewed	Protein cordon-bleu	Cobl Kiaa0633	Mus musculus (Mouse)	1337
O88587	1	COMT_MOUSE	reviewed	Catechol O-methyltransferase (EC 2.1.1.6)	Comt Comt1	Mus musculus (Mouse)	265
Q5SNZ0	1	GRDN_MOUSE	reviewed	Girdin (Akt phosphorylation enhancer) (APE) (Coiled-coil domain-containing protein 88A) (G alpha-interacting vesicle-associated protein) (GIV) (Girders of actin filament) (Hook-related protein 1) (HkRP1)	Ccdc88a Grdn Kiaa1212	Mus musculus (Mouse)	1873
Q5RKR3	1	ISLR2_MOUSE	reviewed	Immunoglobulin superfamily containing leucine-rich repeat protein 2 (Leucine-rich repeat domain and immunoglobulin domain-containing axon extension protein)	Islr2 Kiaa1465 Linx	Mus musculus (Mouse)	745
Q80ZA0	1	ITL1B_MOUSE	reviewed	Intelectin-1b (Intelectin-2)	Itln1b Itln2 Itlnb	Mus musculus (Mouse)	313
Q9D9J7	1	IZUM1_MOUSE	reviewed	Izumo sperm-egg fusion protein 1 (Oocyte binding/fusion factor) (OBF) (Sperm-specific protein izumo)	Izumo1	Mus musculus (Mouse)	397
P28660	1	NCKP1_MOUSE	reviewed	Nck-associated protein 1 (NAP 1) (Brain protein H19) (MH19) (Membrane-associated protein HEM-2) (p125Nap1)	Nckap1 Hem2 Kiaa0587 Nap1	Mus musculus (Mouse)	1128
P08923	1	LTK_MOUSE	reviewed	Leukocyte tyrosine kinase receptor (EC 2.7.10.1)	Ltk	Mus musculus (Mouse)	888
Q8BLD9	1	DRD5_MOUSE	reviewed	D(1B) dopamine receptor (D(5) dopamine receptor) (Dopamine D5 receptor)	Drd5	Mus musculus (Mouse)	478
P23818	1	GRIA1_MOUSE	reviewed	"Glutamate receptor 1 (GluR-1) (AMPA-selective glutamate receptor 1) (GluR-A) (GluR-K1) (Glutamate receptor ionotropic, AMPA 1) (GluA1)"	Gria1 Glur1	Mus musculus (Mouse)	907
P23819	1	GRIA2_MOUSE	reviewed	"Glutamate receptor 2 (GluR-2) (AMPA-selective glutamate receptor 2) (GluR-B) (GluR-K2) (Glutamate receptor ionotropic, AMPA 2) (GluA2)"	Gria2 Glur2	Mus musculus (Mouse)	883
Q9Z2W9	1	GRIA3_MOUSE	reviewed	"Glutamate receptor 3 (GluR-3) (AMPA-selective glutamate receptor 3) (GluR-C) (GluR-K3) (Glutamate receptor ionotropic, AMPA 3) (GluA3)"	Gria3 Glur3 Kiaa4184	Mus musculus (Mouse)	888
Q9Z2W8	1	GRIA4_MOUSE	reviewed	"Glutamate receptor 4 (GluR-4) (GluR4) (AMPA-selective glutamate receptor 4) (GluR-D) (Glutamate receptor ionotropic, AMPA 4) (GluA4)"	Gria4 Glur4	Mus musculus (Mouse)	902
Q61625	1	GRID2_MOUSE	reviewed	"Glutamate receptor ionotropic, delta-2 (GluD2) (GluR delta-2 subunit)"	Grid2	Mus musculus (Mouse)	1007
Q8BZA7	1	GPR26_MOUSE	reviewed	G-protein coupled receptor 26	Gpr26	Mus musculus (Mouse)	337
O54897	1	GPR27_MOUSE	reviewed	Probable G-protein coupled receptor 27 (Super conserved receptor expressed in brain 1)	Gpr27 Sreb1	Mus musculus (Mouse)	379
O88416	1	GPR33_MOUSE	reviewed	Probable G-protein coupled receptor 33	Gpr33	Mus musculus (Mouse)	339
P26151	1	FCGR1_MOUSE	reviewed	High affinity immunoglobulin gamma Fc receptor I (IgG Fc receptor I) (Fc-gamma RI) (FcRI) (CD antigen CD64)	Fcgr1 Fcg1	Mus musculus (Mouse)	404
Q8JZL1	1	I17RD_MOUSE	reviewed	Interleukin-17 receptor D (IL-17 receptor D) (IL-17RD) (Interleukin-17 receptor-like protein) (Sef homolog) (mSef)	Il17rd Il17rlm Sef	Mus musculus (Mouse)	738
Q9R1X5	1	MRP5_MOUSE	reviewed	ATP-binding cassette sub-family C member 5 (EC 7.6.2.-) (EC 7.6.2.2) (Multi-specific organic anion transporter C) (MOAT-C) (Multidrug resistance-associated protein 5) (SMRP)	Abcc5 Abcc5a Mrp5	Mus musculus (Mouse)	1436
P43117	1	PF2R_MOUSE	reviewed	Prostaglandin F2-alpha receptor (PGF receptor) (PGF2-alpha receptor) (Prostanoid FP receptor)	Ptgfr	Mus musculus (Mouse)	366
Q8CI19	1	PDGFC_MOUSE	reviewed	"Platelet-derived growth factor C (PDGF-C) (Fallotein) (Spinal cord-derived growth factor) (SCDGF) (VEGF-E) [Cleaved into: Platelet-derived growth factor C, latent form (PDGFC latent form); Platelet-derived growth factor C, receptor-binding form (PDGFC receptor-binding form)]"	Pdgfc Scdgf	Mus musculus (Mouse)	345
Q8VE70	1	PDC10_MOUSE	reviewed	Programmed cell death protein 10 (TF-1 cell apoptosis-related protein 15)	Pdcd10 Tfar15	Mus musculus (Mouse)	212
Q02242	1	PDCD1_MOUSE	reviewed	Programmed cell death protein 1 (Protein PD-1) (mPD-1) (CD antigen CD279)	Pdcd1 Pd1	Mus musculus (Mouse)	288
Q8BJ52	1	PLPR5_MOUSE	reviewed	Phospholipid phosphatase-related protein type 5 (Lipid phosphate phosphatase-related protein type 5) (Plasticity-related gene 5 protein) (PRG-5)	Plppr5 Lppr5	Mus musculus (Mouse)	321
Q61233	1	PLSL_MOUSE	reviewed	Plastin-2 (65 kDa macrophage protein) (L-plastin) (Lymphocyte cytosolic protein 1) (LCP-1) (pp65)	Lcp1 Pls2	Mus musculus (Mouse)	627
Q9D3P8	1	PLRKT_MOUSE	reviewed	Plasminogen receptor (KT) (Plg-R(KT))	Plgrkt	Mus musculus (Mouse)	147
Q9JJ00	1	PLS1_MOUSE	reviewed	Phospholipid scramblase 1 (PL scramblase 1) (Ca(2+)-dependent phospholipid scramblase 1) (Mg(2+)-dependent nuclease) (EC 3.1.-.-) (Transplantability-associated protein 1) (NOR1) (TRA1)	Plscr1 Tra1b Tras1	Mus musculus (Mouse)	328
Q91VC4	1	PLVAP_MOUSE	reviewed	Plasmalemma vesicle-associated protein (MECA-32 antigen) (Plasmalemma vesicle protein 1) (PV-1)	Plvap Pv1	Mus musculus (Mouse)	438
P70206	1	PLXA1_MOUSE	reviewed	Plexin-A1 (Plex 1) (Plexin-1)	Plxna1 Kiaa4053	Mus musculus (Mouse)	1894
P70207	1	PLXA2_MOUSE	reviewed	Plexin-A2 (Plex 2) (Plexin-2)	Plxna2 Kiaa0463	Mus musculus (Mouse)	1894
P70208	1	PLXA3_MOUSE	reviewed	Plexin-A3	Plxna3	Mus musculus (Mouse)	1872
Q80UG2	1	PLXA4_MOUSE	reviewed	Plexin-A4	Plxna4 Kiaa1550	Mus musculus (Mouse)	1893
Q8CJH3	1	PLXB1_MOUSE	reviewed	Plexin-B1	Plxnb1 Kiaa0407	Mus musculus (Mouse)	2119
B2RXS4	1	PLXB2_MOUSE	reviewed	Plexin-B2	Plxnb2	Mus musculus (Mouse)	1842
Q9QY40	1	PLXB3_MOUSE	reviewed	Plexin-B3 (Plexin-6)	Plxnb3 Kiaa1206 Plxn6	Mus musculus (Mouse)	1902
Q3UH93	1	PLXD1_MOUSE	reviewed	Plexin-D1	Plxnd1	Mus musculus (Mouse)	1925
O70165	1	FCN1_MOUSE	reviewed	Ficolin-1 (Collagen/fibrinogen domain-containing protein 1) (Ficolin-A) (Ficolin-alpha) (M-ficolin)	Fcn1 Fcna	Mus musculus (Mouse)	334
Q99J93	1	IFM2_MOUSE	reviewed	Interferon-induced transmembrane protein 2 (Dispanin subfamily A member 2c) (DSPA2c) (Fragilis protein 3)	Ifitm2	Mus musculus (Mouse)	144
Q9JKF1	1	IQGA1_MOUSE	reviewed	Ras GTPase-activating-like protein IQGAP1	Iqgap1	Mus musculus (Mouse)	1657
O54890	1	ITB3_MOUSE	reviewed	Integrin beta-3 (Platelet membrane glycoprotein IIIa) (GPIIIa) (CD antigen CD61)	Itgb3	Mus musculus (Mouse)	787
P63143	1	KCAB1_MOUSE	reviewed	Voltage-gated potassium channel subunit beta-1 (EC 1.1.1.-) (K(+) channel subunit beta-1) (Kv-beta-1)	Kcnab1 Kvb1	Mus musculus (Mouse)	401
Q9JJ69	1	KCIP2_MOUSE	reviewed	Kv channel-interacting protein 2 (KChIP2) (A-type potassium channel modulatory protein 2) (Potassium channel-interacting protein 2)	Kcnip2 Kchip2	Mus musculus (Mouse)	270
O70451	1	MOT2_MOUSE	reviewed	Monocarboxylate transporter 2 (MCT 2) (Solute carrier family 16 member 7)	Slc16a7 Mct2	Mus musculus (Mouse)	484
O35219	1	KCNH2_MOUSE	reviewed	Potassium voltage-gated channel subfamily H member 2 (Ether-a-go-go-related gene potassium channel 1) (ERG-1) (Eag-related protein 1) (Ether-a-go-go-related protein 1) (MERG) (Voltage-gated potassium channel subunit Kv11.1)	Kcnh2 Erg Merg1	Mus musculus (Mouse)	1162
P52189	1	KCNJ4_MOUSE	reviewed	"Inward rectifier potassium channel 4 (Inward rectifier K(+) channel Kir2.3) (IRK-3) (Potassium channel, inwardly rectifying subfamily J member 4)"	Kcnj4 Irk3	Mus musculus (Mouse)	445
Q9DBJ6	1	JOS1_MOUSE	reviewed	Josephin-1 (EC 3.4.19.12) (Josephin domain-containing protein 1)	Josd1	Mus musculus (Mouse)	202
O35111	1	KCNK3_MOUSE	reviewed	Potassium channel subfamily K member 3 (Acid-sensitive potassium channel protein TASK-1) (Cardiac two pore background K(+) channel) (TWIK-related acid-sensitive K(+) channel 1) (Two pore potassium channel KT3.1) (Two pore K(+) channel KT3.1) (cTBAK-1)	Kcnk3 Ctbak Task Task1	Mus musculus (Mouse)	409
P48025	1	KSYK_MOUSE	reviewed	Tyrosine-protein kinase SYK (EC 2.7.10.2) (Spleen tyrosine kinase)	Syk ptk72 Sykb	Mus musculus (Mouse)	629
Q9Z127	1	LAT1_MOUSE	reviewed	Large neutral amino acids transporter small subunit 1 (4F2 light chain) (4F2 LC) (4F2LC) (L-type amino acid transporter 1) (LAT1) (Solute carrier family 7 member 5)	Slc7a5 Lat1	Mus musculus (Mouse)	512
Q8BHB3	1	LAX1_MOUSE	reviewed	Lymphocyte transmembrane adapter 1 (Linker for activation of X cells) (Membrane-associated adapter protein LAX)	Lax1 Lax	Mus musculus (Mouse)	407
Q61790	1	LAG3_MOUSE	reviewed	Lymphocyte activation gene 3 protein (LAG-3) (Activation-induced cytidine deaminase-linked autoimmunity protein) (Aida) (CD antigen CD223) [Cleaved into: Secreted lymphocyte activation gene 3 protein (sLAG-3)]	Lag3	Mus musculus (Mouse)	521
Q91YA2	1	KPSH1_MOUSE	reviewed	Serine/threonine-protein kinase H1 (EC 2.7.11.1) (Protein serine kinase H1) (PSK-H1)	Pskh1	Mus musculus (Mouse)	424
P20444	1	KPCA_MOUSE	reviewed	Protein kinase C alpha type (PKC-A) (PKC-alpha) (EC 2.7.11.13)	Prkca Pkca	Mus musculus (Mouse)	672
P28867	1	KPCD_MOUSE	reviewed	Protein kinase C delta type (EC 2.7.11.13) (Tyrosine-protein kinase PRKCD) (EC 2.7.10.2) (nPKC-delta) [Cleaved into: Protein kinase C delta type regulatory subunit; Protein kinase C delta type catalytic subunit (Sphingosine-dependent protein kinase-1) (SDK1)]	Prkcd Pkcd	Mus musculus (Mouse)	674
Q8C031	1	LRC4C_MOUSE	reviewed	Leucine-rich repeat-containing protein 4C (Netrin-G1 ligand) (NGL-1)	Lrrc4c Ngl1	Mus musculus (Mouse)	640
P54310	1	LIPS_MOUSE	reviewed	Hormone-sensitive lipase (HSL) (EC 3.1.1.79) (Monoacylglycerol lipase LIPE) (EC 3.1.1.23) (Retinyl ester hydrolase) (REH)	Lipe	Mus musculus (Mouse)	759
Q62073	1	M3K7_MOUSE	reviewed	Mitogen-activated protein kinase kinase kinase 7 (EC 2.7.11.25) (Transforming growth factor-beta-activated kinase 1) (TGF-beta-activated kinase 1)	Map3k7 Tak1	Mus musculus (Mouse)	579
Q7TM99	1	MOT9_MOUSE	reviewed	Monocarboxylate transporter 9 (MCT 9) (Solute carrier family 16 member 9)	Slc16a9 Mct9	Mus musculus (Mouse)	508
P51180	1	MIP_MOUSE	reviewed	Lens fiber major intrinsic protein (Aquaporin-0) (MIP26) (MP26)	Mip Palm	Mus musculus (Mouse)	263
Q9Z2L6	1	MINP1_MOUSE	reviewed	"Multiple inositol polyphosphate phosphatase 1 (EC 3.1.3.62) (2,3-bisphosphoglycerate 3-phosphatase) (2,3-BPG phosphatase) (EC 3.1.3.80) (Inositol (1,3,4,5)-tetrakisphosphate 3-phosphatase) (Ins(1,3,4,5)P(4) 3-phosphatase)"	Minpp1 Mipp MNCb-1572	Mus musculus (Mouse)	481
Q8BR76	1	MKS3_MOUSE	reviewed	Meckelin (Meckel syndrome type 3 protein homolog) (Transmembrane protein 67)	Tmem67 Mks3	Mus musculus (Mouse)	992
Q7TQQ0	1	O1509_MOUSE	reviewed	Olfactory receptor 1509 (Odorant receptor 244-3) (Odorant receptor 83)	Olfr1509 MOR244-3 MOR83	Mus musculus (Mouse)	308
Q8VBV9	1	O51E2_MOUSE	reviewed	Olfactory receptor 51E2 (Olfactory receptor 78)	Or51e2 Mol2.3 Olfr78 Psgr	Mus musculus (Mouse)	320
Q60891	1	OL139_MOUSE	reviewed	Olfactory receptor 139 (Odorant receptor M5) (Olfactory receptor 1) (Olfactory receptor 255-2)	Olfr139 Mor255-2 Olfr1	Mus musculus (Mouse)	315
Q60878	1	OL140_MOUSE	reviewed	Olfactory receptor 140 (Odorant receptor A16) (Olfactory receptor 235-1) (Olfactory receptor 4A)	Olfr140 Mor235-1 Olfr4	Mus musculus (Mouse)	302
Q60880	1	OL141_MOUSE	reviewed	Olfactory receptor 141 (Olfactory receptor 4B)	Olfr141 Olfr4	Mus musculus (Mouse)	325
Q60881	1	OL142_MOUSE	reviewed	Olfactory receptor 142 (Olfactory receptor 227-2) (Olfactory receptor 4C)	Olfr142 Mor227-2 Olfr4	Mus musculus (Mouse)	305
P34985	1	OL143_MOUSE	reviewed	Olfactory receptor 143 (Odorant receptor K18) (Olfactory receptor 170-6) (Olfactory receptor 7A)	Olfr143 Mor170-6 Olfr7	Mus musculus (Mouse)	313
Q60882	1	OL145_MOUSE	reviewed	Olfactory receptor 145 (Odorant receptor K21) (Olfactory receptor 161-6) (Olfactory receptor 7C)	Olfr145 Mor161-6 Olfr7	Mus musculus (Mouse)	310
Q60884	1	OL146_MOUSE	reviewed	Olfactory receptor 146 (Odorant receptor M15) (Olfactory receptor 171-10) (Olfactory receptor 7D)	Olfr146 Mor171-10 Olfr7	Mus musculus (Mouse)	306
Q60886	1	OL147_MOUSE	reviewed	Olfactory receptor 147 (Odorant receptor M3) (Olfactory receptor 164-1) (Olfactory receptor 7E)	Olfr147 Mor164-1 Olfr7	Mus musculus (Mouse)	317
Q60887	1	OL148_MOUSE	reviewed	Olfactory receptor 148 (Odorant receptor M30) (Olfactory receptor 224-4) (Olfactory receptor 7F)	Olfr148 Mor224-4 Olfr7	Mus musculus (Mouse)	310
Q60888	1	OL149_MOUSE	reviewed	Olfactory receptor 149 (Odorant receptor M31) (Olfactory receptor 224-8) (Olfactory receptor 7G)	Olfr149 Mor224-8 Olfr7	Mus musculus (Mouse)	311
Q60895	1	OL150_MOUSE	reviewed	Olfactory receptor 150 (Odorant receptor M93) (Olfactory receptor 171-18) (Olfactory receptor 7I)	Olfr150 Mor171-18 Olfr7	Mus musculus (Mouse)	312
Q60893	1	OL151_MOUSE	reviewed	Olfactory receptor 151 (Odorant receptor M71) (Olfactory receptor 171-2) (Olfactory receptor 7H)	Olfr151 Mor171-2 Olfr7	Mus musculus (Mouse)	309
Q9QY00	1	OL154_MOUSE	reviewed	Olfactory receptor 154 (Olfactory receptor 175-1)	Olfr154 Mor175-1 Olfr4-3 Or912-93 Or93	Mus musculus (Mouse)	318
Q7TS48	1	OL180_MOUSE	reviewed	Olfactory receptor Olfr180	Olfr180	Mus musculus (Mouse)	317
Q8VGQ7	1	OL181_MOUSE	reviewed	Olfactory receptor 181 (Olfactory receptor 184-4)	Olfr181 Mor184-4	Mus musculus (Mouse)	317
Q8VFB9	1	OL183_MOUSE	reviewed	Olfactory receptor 183 (Olfactory receptor 183-2)	Olfr183 Mor183-2	Mus musculus (Mouse)	309
Q8VEX5	1	OL186_MOUSE	reviewed	Olfactory receptor 186 (Olfactory receptor 183-9)	Olfr186 Mor183-9	Mus musculus (Mouse)	309
Q61194	1	P3C2A_MOUSE	reviewed	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha (PI3K-C2-alpha) (PtdIns-3-kinase C2 subunit alpha) (EC 2.7.1.137) (EC 2.7.1.153) (EC 2.7.1.154) (Cpk-m) (Phosphoinositide 3-kinase-C2-alpha) (p170)	Pik3c2a Cpk	Mus musculus (Mouse)	1686
Q7TSK3	1	PCDH8_MOUSE	reviewed	Protocadherin-8 (Arcadlin) (Paraxial protocadherin)	Pcdh8 Papc	Mus musculus (Mouse)	1070
Q99LX0	1	PARK7_MOUSE	reviewed	Parkinson disease protein 7 homolog (Maillard deglycase) (Parkinsonism-associated deglycase) (Protein DJ-1) (DJ-1) (Protein/nucleic acid deglycase DJ-1) (EC 3.1.2.-) (EC 3.5.1.-) (EC 3.5.1.124)	Park7	Mus musculus (Mouse)	189
Q99MT8	1	MRGRH_MOUSE	reviewed	Mas-related G-protein coupled receptor member H (G-protein coupled receptor 90)	Mrgprh Gpr90 Mrgh	Mus musculus (Mouse)	321
Q9CZG9	1	PDZ11_MOUSE	reviewed	PDZ domain-containing protein 11	Pdzd11 Pdzk11	Mus musculus (Mouse)	140
Q922S4	1	PDE2A_MOUSE	reviewed	"cGMP-dependent 3',5'-cyclic phosphodiesterase (EC 3.1.4.17) (Cyclic GMP-stimulated phosphodiesterase) (CGS-PDE) (cGSPDE)"	Pde2a	Mus musculus (Mouse)	939
P10820	1	PERF_MOUSE	reviewed	Perforin-1 (P1) (Cytolysin) (Lymphocyte pore-forming protein)	Prf1 Pfp	Mus musculus (Mouse)	554
P35375	1	PE2R1_MOUSE	reviewed	Prostaglandin E2 receptor EP1 subtype (PGE receptor EP1 subtype) (PGE2 receptor EP1 subtype) (Prostanoid EP1 receptor)	Ptger1 Ptgerep1	Mus musculus (Mouse)	405
Q62053	1	PE2R2_MOUSE	reviewed	Prostaglandin E2 receptor EP2 subtype (PGE receptor EP2 subtype) (PGE2 receptor EP2 subtype) (Prostanoid EP2 receptor)	Ptger2 Ptgerep2	Mus musculus (Mouse)	362
P30557	1	PE2R3_MOUSE	reviewed	Prostaglandin E2 receptor EP3 subtype (PGE receptor EP3 subtype) (PGE2 receptor EP3 subtype) (Prostanoid EP3 receptor)	Ptger3 Ptgerep3	Mus musculus (Mouse)	365
P32240	1	PE2R4_MOUSE	reviewed	Prostaglandin E2 receptor EP4 subtype (PGE receptor EP4 subtype) (PGE2 receptor EP4 subtype) (Prostanoid EP4 receptor)	Ptger4 Ptgerep4	Mus musculus (Mouse)	513
Q01063	1	PDE4D_MOUSE	reviewed	"cAMP-specific 3',5'-cyclic phosphodiesterase 4D (EC 3.1.4.53) (DPDE3)"	Pde4d	Mus musculus (Mouse)	747
Q9JK95	1	PERP_MOUSE	reviewed	p53 apoptosis effector related to PMP-22 (Keratinocyte-associated protein 1) (KCP-1)	Perp Krtcap1	Mus musculus (Mouse)	193
Q8VIK5	1	PEAR1_MOUSE	reviewed	Platelet endothelial aggregation receptor 1 (mPEAR1) (Jagged and Delta protein) (Protein Jedi) (Multiple epidermal growth factor-like domains protein 12) (Multiple EGF-like domains protein 12)	Pear1 Jedi Megf12	Mus musculus (Mouse)	1034
P27664	1	PDE6A_MOUSE	reviewed	"Rod cGMP-specific 3',5'-cyclic phosphodiesterase subunit alpha (GMP-PDE alpha) (EC 3.1.4.35)"	Pde6a Mpa Pdea	Mus musculus (Mouse)	859
Q9R269	1	PEPL_MOUSE	reviewed	Periplakin	Ppl	Mus musculus (Mouse)	1755
Q91ZQ1	1	PDE6C_MOUSE	reviewed	"Cone cGMP-specific 3',5'-cyclic phosphodiesterase subunit alpha' (EC 3.1.4.35) (cGMP phosphodiesterase 6C)"	Pde6c	Mus musculus (Mouse)	861
